,AD 0<pmi<5,AD 5<pmi<7,AD 7<pmi<9,AD 9<pmi<11,AD 11<pmi<13,AD 13<pmi<15,AD 15<pmi<100,MMCI 0<pmi<5,MMCI 5<pmi<7,MMCI 7<pmi<9,MMCI 9<pmi<11,MMCI 11<pmi<13,MMCI 13<pmi<15,MMCI 15<pmi<100,NCI 0<pmi<5,NCI 5<pmi<7,NCI 7<pmi<9,NCI 9<pmi<11,NCI 11<pmi<13,NCI 13<pmi<15,NCI 15<pmi<100,type,len
3'-tRF_16,1808,3595,3355,692,0.0,0.0,1657,2511,1532,1669,860,0.0,1935,4481,1190,3129,1333,541,2516,199,2454,3'-tRF,16
3'-tRF_17,1582,1448,1668,513,0.0,0.0,1185,1759,495,651,495,0.0,726,1975,1101,1367,687,369,1487,350,1791,3'-tRF,17
3'-tRF_18,1708,1833,2090,572,0.0,0.0,1364,2326,697,799,539,0.0,602,2329,1322,1654,751,428,1737,446,1639,3'-tRF,18
3'-tRF_19,275,333,346,101,0.0,0.0,269,306,97,133,91,0.0,118,368,178,291,141,86,306,69,320,3'-tRF,19
3'-tRF_20,239,388,301,86,0.0,0.0,220,283,133,139,76,0.0,117,417,136,295,149,81,256,35,296,3'-tRF,20
3'-tRF_21,354,750,547,129,0.0,0.0,292,481,277,253,132,0.0,223,791,269,642,240,87,436,43,459,3'-tRF,21
3'-tRF_22,877,946,848,339,0.0,0.0,672,1206,306,319,228,0.0,170,1119,508,735,349,201,753,114,588,3'-tRF,22
3'-tRF_23,318,654,622,112,0.0,0.0,306,506,265,218,116,0.0,169,693,219,538,231,112,560,69,429,3'-tRF,23
3'-tRF_24,305,513,370,132,0.0,0.0,373,446,162,172,98,0.0,62,465,194,343,142,73,386,75,318,3'-tRF,24
3'-tRF_25,242,272,328,97,0.0,0.0,136,227,88,100,72,0.0,72,309,121,207,108,70,289,56,201,3'-tRF,25
3'-tRF_26,570,650,819,242,0.0,0.0,761,584,268,324,298,0.0,84,1526,281,600,298,219,672,172,831,3'-tRF,26
