Name,projid
NCI A,21190619
NCI B,10245134
NCI C,11145865
NCI D,11258675
NCI E,20187204
NCI F,20616100
NCI G,20729046
NCI H,20820802
NCI I,21111718
NCI J,21133372
NCI K,21180847
NCI L,40470544
NCI M,66743772
NCI N,21408652
NCI O,21151608
NCI P,10204365
MMCI A,21402016
MMCI B,10263208
MMCI C,11408227
MMCI D,11455792
MMCI E,20153858
MMCI F,20907246
MMCI G,20995742
MMCI H,20997924
MMCI I,21123636
MMCI J,29286432
MMCI K,48319614
MMCI L,68361020
MMCI M,97411796
MMCI N,10284019
MMCI O,15193075
MMCI P,11436875
AD A,00021073
AD B,11120276
AD C,11446809
AD D,20202806
AD E,20551582
AD F,20701008
AD G,20877791
AD H,20968361
AD I,20988167
AD J,21157406
AD K,21274154
AD L,31999149
AD M,52318052
AD N,59796318
AD O,20235373
AD P,21000342
AD Q,11384054
