"","X.miRNA","precursor","AD_A_S33_L001","AD_B_S34_L001","AD_C_S35_L001","AD_D_S36_L001","AD_E_S37_L001","AD_F_S38_L001","AD_G_S39_L001","AD_H_S40_L001","AD_I_S41_L001","AD_J_S42_L001","AD_K_S43_L001","AD_L_S44_L001","AD_M_S45_L001","AD_N_S46_L001","AD_O_S47_L001","AD_Q_S48_L001","MMCI_A_S17_L001","MMCI_B_S18_L001","MMCI_C_S19_L001","MMCI_D_S20_L001","MMCI_E_S21_L001","MMCI_F_S22_L001","MMCI_G_S23_L001","MMCI_H_S24_L001","MMCI_I_S25_L001","MMCI_J_S26_L001","MMCI_K_S27_L001","MMCI_L_S28_L001","MMCI_M_S29_L001","MMCI_N_S30_L001","MMCI_O_S31_L001","MMCI_P_S32_L001","NCI_A_S1_L001","NCI_B_S2_L001","NCI_C_S3_L001","NCI_D_S4_L001","NCI_E_S5_L001","NCI_F_S6_L001","NCI_G__S7_L001","NCI_H_S8_L001","NCI_I_S9_L001","NCI_J_S10_L001","NCI_K_S11_L001","NCI_L_S12_L001","NCI_M_S13_L001","NCI_N_S14_L001","NCI_O_S15_L001","NCI_P_S16_L001"
"1","hsa-let-7a-5p","hsa-let-7a-1",4946.66,3600.85,5594.52,6268.47,4207.45,3906.59,3779.34,7178.47,4051.43,3741.44,3786.42,7690.2,4311.22,4841.58,3970.02,11338.68,5013.74,2773.06,4462.91,4111.3,4356.09,3931.16,5000.04,3419.93,6814.81,3948.87,5572.35,3579.03,4026.19,3474.88,4991.85,5062.92,5442.72,3777.67,3474.21,4082.94,6780.62,3385.32,4020.32,8252.49,2921.51,3807.9,4469.18,3205.57,4828.71,4975.97,5514.57,3630.02
"2","hsa-let-7a-3p","hsa-let-7a-1",23.24,38.85,29.76,46.66,27.1,21.68,34.37,32.53,54.37,43.3,21.95,27.24,34,57.23,25.54,25.92,25.25,16.16,33.01,33.72,30.42,39.35,48.17,40.93,54.43,39.03,39.1,25.98,42.4,21.33,38.11,23.31,47.77,27.41,28.56,41.43,41.01,15.63,44.16,40.95,19.51,38.33,37.37,34.54,35.85,32.69,42.38,33.95
"3","hsa-let-7a-5p","hsa-let-7a-2",8191.86,6308.14,8482.79,9334.01,6340.43,6066.72,5846.37,11204.46,6500.85,6545.15,5915.59,11340.81,6645.73,7841.07,6045.91,18531.82,7461.1,4867.39,6859.44,5874.16,7011.23,6386.55,7423.65,5436.11,11006.02,6462.61,8739.2,5875.2,6198.63,5504.33,7903.77,7843.05,8714.92,6593.79,5621.55,6424.38,10309.11,5514.03,6193.76,12060.6,4911.45,6094.56,7171.61,5037.51,7509.18,7821.3,8374.91,6062.86
"4","hsa-let-7a-2-3p","hsa-let-7a-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","hsa-let-7a-5p","hsa-let-7a-3",4913.46,3572.22,5583.07,6261.99,4202.03,3893.24,3773.2,7150.82,4038.17,3713.02,3773.25,7676.58,4294.96,4818.26,3949,11238.7,4977.67,2760.13,4461.41,4083.7,4328.43,3891.81,4986.75,3400.22,6770.05,3907.23,5551.77,3546.55,3992.56,3457.54,4955.34,5022.12,5424.8,3752.55,3466.59,4067.6,6782.4,3350.93,4001.58,8243.04,2926.39,3804.31,4445.26,3184.31,4785.96,4952.2,5495.31,3602.86
"6","hsa-let-7a-3p","hsa-let-7a-3",0,0,0,0,1.08,0,1.23,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
"7","hsa-let-7b-5p","hsa-let-7b",117.86,116.55,92.73,101.1,53.11,95.08,67.51,128.51,76.92,90.66,54.88,96.87,65.05,57.23,54.08,266.62,68.53,145.44,84.04,72.05,71.91,63.25,73.09,66.7,149.99,92.38,107,81.19,65.79,69.34,100.03,132.11,161.22,105.06,70.44,87.46,130.16,73.46,58.89,94.49,75.6,73.07,103.13,55.8,81.35,118.86,78.97,67.89
"8","hsa-let-7b-3p","hsa-let-7b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","hsa-let-7c-5p","hsa-let-7c",1108.85,1641.96,1350.84,1178.25,1177.04,1177.65,1163.63,1107.76,1259.86,1474.92,1031.66,1409.09,1256.7,1428.73,1048.46,1510.84,1069.48,1877.79,1101.47,981.07,1161.62,1241.05,1104.66,939.87,1305.14,1513.19,1448.65,1178.94,1036.52,1000.06,1159.05,1074.36,1355.45,1155.68,1239.29,1187.6,1191.02,1173.76,1096.09,1022.11,1519.28,1112.78,992.49,1020.25,1260.26,1080.18,1032.42,1240.18
"10","hsa-let-7c-3p","hsa-let-7c",0,0,0,0,0,0,0,0,0,0,1.1,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
